,IGN,Name,Team,Role,Country,Age
186,Djoko,Charly Guillard,Team-LDLC,Jungler,France,22.0
187,Dolonoy,Valentin Delaunoy,GameWard,Bot,France,23.0
188,Dom1nant,Giannis Vorgazlis (Γιάννης Βοργαζλής),Greek Regenesis,Jungler,Greece,22.0
189,Dommmy,Ivo Smit,Echo Zulu,Jungler,Netherlands,
190,Don Arts,Finn-Lukas Salomon,BIG,Jungler,Germany,20.0
191,DoubleAiM,Aleksa Stanković (Алекса Станковић),Crvena zvezda,Jungler,Serbia,22.0
192,Dragflick,Peter Dekker,S1.Academy,Mid,Netherlands,20.0
193,Dragneel,Ioannis Damas (Ιωάννης Δάμας),Different Dimension,Top,Greece,
194,Dread,Jan Hrbáč,AS Trenčín,Mid,Czech Republic,
195,Dreamer Ace,Tobias Schreckeneder,UOL Sexy Edition,Support,Austria,22.0
196,dreamsu,Joffrey Livet,against All authority,Bot,France,
197,Dreedy,Jakub Viceník,Outlawz,Top,Czech Republic,18.0
198,DrMatt,Mattia Fazzalaro,MOBA ROG,Mid,Italy,
199,DuaLL,Ángel Fernández,eMonkeyz,Support,Spain,
200,Duke,Hadrien Forestier,Splyce,Coach,France,
201,Eberkazak,Mateusz Strąk,Katastrofa Awionetki,Bot,Poland,
202,Eckas,Edgaras Strazdauskas,Outplayed,Jungler,Lithuania,
203,EdinPriqtel,Dimitar Piskov,Random 5,Coach,Bulgaria,
204,Edward,Edward Abgaryan (Եդւարդ Աբգարյան),Unicorns Of Love,Support,Armenia,25.0
205,Efias,Oleksandr Yankovich (Олександр Янкович),Sparks,Support,Ukraine,20.0
206,Eika,Jérémy Valdenaire,Team-LDLC,Mid,France,22.0
207,Ejsner,Wiktor Świderski,Katastrofa Awionetki,Bot,Poland,
208,eLite,Hugo Cameira,Gamespace eSports,Top,Portugal,
209,ElOjoNinja,Daniel Vaquero Cotilla,MAD Lions,Streamer,Spain,23.0
210,Emendatus,Gustav Halvarsson,Wind and Rain Nordic,Top,Sweden,20.0
211,Emi,Emanuel Ursachi,Vodafone Giants,Coach,Romania,
212,Emtest,Adam Emtestam,Penguins,Bot,Sweden,22.0
213,Enatron,Ilias Theodorou (Ηλίας Θεοδώρου),Royal Youth,Coach,Greece,25.0
214,Endz,Lauri Tarkus,Sparks,Bot,Estonia,
215,Enjawve,Solal Accary,ROG Esport,Support,France,
216,Erdote,Robert Nowak,devils.one,Support,Poland,19.0
217,Eren,Nguyễn Đức Anh,Team AURORA,Mid,Vietnam,
218,Eru,Eero Viitasaari,MJ-Esports,Support,Finland,21.0
219,Eternity,Giuliano Wölm,AeQ eSports,Mid,Germany,20.0
220,Eunha,Elmeri Mahlamäki,NYYRIKKI Academy,Jungler,Finland,19.0
221,Exile,Fabian Schubert,Excel Esports,Mid,Germany,22.0
222,Exorant,Daniel Hume Podosu,INTZ e-Sports,Coach,Romania,
223,Faithless,Paschalis Tsifoutakos (Πασχάλης Τσιφουτάκος),Gamespace eSports,Jungler,Greece,22.0
224,Falazury,Aleš Lipl,NecroRaisers,Support,Czech Republic,22.0
225,Falco,Jesús Pérez Rubio,MAD Lions,Support,Spain,24.0
226,Fallen Angel,Viktor Kordanovski,Evolution Online,Jungler,North Macedonia,
227,Fastlegged,Emre Fraser,DarkSpawn Gaming,Support,United Kingdom,
228,FearlessS,Miguel Santos,Vodafone Giants,Coach,Portugal,
229,Febiven,Fabian Diepstraten,Misfits Gaming,Mid,Netherlands,22.0
230,Feint,Alvise Bruni,Outplayed,Mid,Italy,22.0
231,Final,Daniel Glaser,WarKidZ E-Sports,Mid,Germany,
232,FindFinn,Lucas Paradecka,Wicked Gaming,Top,Denmark,22.0
233,Finn,Finn Wiestål,Rogue,Top,Sweden,19.0
234,Fittle,Anders Carly Wind,Ventus Esports,Support,Denmark,20.0
235,Fl4mer,Julien Berschuck,GamerLegion,Top,Germany,
236,Flair,Leo Rautio,NYYRIKKI Academy,Top,Finland,18.0
237,Flakked,Victor Lirola,S2V Esports,Bot,Spain,
238,Flash,Michał Kosicki,ACTINA PACT,Manager,Poland,21.0
239,Flash,Luís Cerqueira,GeekCase eSports,Top,Portugal,
240,Flaxxish,Olof Medin,x6tence,Top,Sweden,23.0
241,FlayStation,August Sandberg,Fortress ,Support,Denmark,20.0
242,Flip,Filipe Ferreira,SAMCLAN Esports Club,Top,Portugal,22.0
243,Flipper,Sebastian Torpe Blatch,Wicked Gaming,Jungler,Denmark,
244,Flirt,Filip Vatamidis Norrstam,DarkSpawn Gaming,Bot,Sweden,21.0
245,Fok,Ilias Diamantis (Ηλίας Διαμαντής),Different Dimension,Top,Greece,22.0
246,Forsaken,Cheng Yi-Ji (程艺集),Racoon,Top,Italy,20.0
247,Foute Makelaar,Thijmen van de Bilt,Dorans MR,Jungler,Netherlands,21.0
248,FoX,Rafael Costa,SAMCLAN Esports Club,Bot,Portugal,18.0
249,Fragola,Alessandro Zappalà,MOBA ROG,Jungler,Italy,
250,Fraid,Frédéric Simonet,against All authority,Top,France,
251,Frappii,Antonio Botezatu,Try Out Madness,Bot,France,17.0
252,Frather,Mikó Lóránt,Team Plague,Top,Hungary,
253,fredy122,Simon Payne,Rogue,Coach,United Kingdom,
254,Freeze,Aleš Kněžínek,MAD Lions,Bot,Czech Republic,24.0
255,FreezeOP,Aitor Jiménez,Kawaii Kiwis,Jungler,Spain,
256,Freyja,Naïma Gradi,Out of the Blue,Top,France,24.0
257,Froggen,Henrik Hansen,Golden Guardians,Mid,Denmark,25.0
258,Froomie,Richard Froom,Barrage Esports,Manager,United Kingdom,24.0
259,Frost,Nikos Psomas (Νίκος Ψωμάς),Greek Regenesis,Bot,Greece,
260,Frozen,Tiago Tavares,For The Win Esports,Top,Portugal,
261,Funk3y,Johannes Werner,TKA E-Sports,Bot,Germany,
262,Furuy,Mike Wils,ToxicFalcons,Mid,Netherlands,
263,Fynnek,Marc-André Meyer,Black Lion,Top,Germany,20.0
264,Gaaloul,Ali Gaaloul,RIFT Esports,Mid,United Kingdom,
265,Gabbo,Gabriel Olivieri,QLASH Forge Academy,Top,Italy,
266,Gagai,Ilias Krionas (Ηλίας Κρυώνας),Pyrsos Esports,Bot,Greece,21.0
267,Galatas,Anil Hikmetoglou,Test Your Limits,Jungler,Germany,27.0
268,Gamagotchi,Mauro Bruno,Dropz Esports,Support,Italy,
269,Garp,Jakub Novotný,Elan DEspoir,Top,Czech Republic,18.0
270,Geller,Sipos Gábor,Team Plague,Support,Hungary,
271,Gevous,Fayan Pertijs,Vitality.Bee,Coach,Netherlands,
272,Gilfer,Gonzalo Márquez,S2V Esports Academy,Bot,Spain,
273,Gilius,Erberk Demir,Ad Hoc Gaming,Jungler,Germany,22.0
274,Gillete Habuubu,Seyit Cüce,Alpaka Esports,Jungler,Germany,
275,Gistick,Norman Kaiser,mousesports,Support,Germany,
276,Gjergsen,Nikos Gkergkis (Νίκος Γκέργκης),Reformed Gaming,Jungler,Greece,19.0
277,Glebo,Piotr Dąbrowski,MOBA ROG,Top,Poland,
278,Glowing,Florian Loferski,GamerLegion,Mid,Germany,
279,Godbro,Dan Van Vo,Ventus Esports,Mid,Denmark,24.0
280,GodSoap,Konstantinos Andreadis (Κωνσταντίνος Ανδρεάδης),Reformed Gaming,Support,Greece,
281,Gofio,Antonio Valenciano,Team Queso,Coach,Spain,
282,Goldento4st,Valmir Fejzullahu (Валмир Фејзулаху),X25 Esports,Bot,North Macedonia,20.0
283,Gotrek,Ettore Barcella,QLASH Forge Academy,Bot,Italy,18.0
284,Gould,Jorge Lujan,Bulldog Esports,Bot,Spain,
285,GrabbZ,Fabian Lohmann,G2 Esports,Coach,Germany,
286,Greenfire,Nikola Dimovic,PF Helix,Jungler,Switzerland,21.0
287,Gricek,Hubert Brodowski,ACTINA PACT,Top,Poland,20.0
288,Grisen,Emil Brouwer,CPH Flames.A,Support,Denmark,22.0
289,Grk,Konrad Górniak,Team DPD,Support,Poland,
290,Guilhoto,André Guilhoto,Origen,Coach,Portugal,
291,Guilty,Luca Valla,QLASH Forge,Bot,Italy,21.0
292,H0shiG4ki,Adam Krawczyk,PG Athletes,Mid,Poland,21.0
293,H1IVA,Aleksi Kaikkonen,Misfits Premier,Support,Finland,24.0
294,Hachiman,Davy de Graaf,Team Animals,Top,Netherlands,19.0
295,Hades,Maik Jonker,Defusekids,Jungler,Netherlands,
296,Hadow,Mantas Sukevičius,Penguins,Support,Lithuania,26.0
297,Hans Sama,Steven Liv,Misfits Gaming,Bot,France,19.0
298,Hantera,Jules Bourgeois,Solary,Support,France,20.0
299,Hatchý,Adrian Widera,devils.one,Coach,Poland,25.0
300,Hated,Michael-Andrew Boubous (Μιχαήλ-Ανδρέας Μπουμπούς),Reformed Gaming,Mid,Greece,18.0
301,Hatred,Veselin Constantinov Popov,Split Raiders,Jungler,Bulgaria,
302,Hatrixx,Jørgen Elgåen,Splyce Vipers,Coach,Norway,21.0
303,Hayate,Redon Fili,Different Dimension,Mid,Greece,22.0
304,HeaQ,Martin Kordmaa,Rogue,Bot,Estonia,
305,HenkHenkerson,Dimitri Smits,Vanguard Esports,Mid,Netherlands,21.0
306,Hextasy,Kecskés Gergő,WiLD MultiGaming,Support,Hungary,23.0
307,Hiro,Pablo García Muñoz,MOBA ROG,Bot,Spain,18.0
308,Hiro,"Nguyên ""Filip"" Đại Hải",GamerLegion,Bot,Czech Republic,18.0
309,Hjarnan,Petter Freyschuss,Excel Esports,Bot,Sweden,
310,Hoiz,Aron Gabríel Guðmundsson,Dusty,Bot,Iceland,
311,Holo,Manuel Cortes Pereira Belchior de Sousa,For The Win Esports,Mid,Portugal,21.0
312,Homi,Adrián Moldes López,Origen BCN,Support,Spain,25.0
313,Huido,Daniel Huidobro Budino,Giants Academy,Jungler,Spain,
314,Humanoid,Marek Brázda,Splyce,Mid,Czech Republic,19.0
315,HungryPanda,Nikos Nikolaidis (Νικος Νικολαιδης),Team Queso,Support,Greece,20.0
316,HustlinbeasT,Morgan Granberg,GamersOrigin,Support,Sweden,
317,Hylissang,Zdravets Iliev Galabov (Здравец Илиев Гълъбов),Fnatic,Support,Bulgaria,24.0
318,Hyorai,Stéphane Goussu,against All authority,Support,France,
