,IGN,Name,Team,Role,Country,Age
119,IgNar,Lee Dong-geun (이동근),FC Schalke 04,Support,South Korea,22.0
120,iloveoov,Choi Yeon-sung (최연성),Afreeca Freecs,Manager,South Korea,35.0
121,Imp,Gu Seung-bin (구승빈),JD Gaming,Bot,South Korea,23.0
122,Irean,Heo Yeong-cheol (허영철),CLG,Coach,South Korea,
123,Jelly,Son Ho-gyeong (손호경),Afreeca Freecs,Support,South Korea,21.0
124,Jerophilip,Ha Jae-pil (하재필),AXIZ,Coach,South Korea,
125,Jinoo,Lim Jin-woo (임진우),EDward Gaming,Top,South Korea,24.0
126,Jisu,Park Jin-cheol (박진철),Team Dynamics,Top,South Korea,23.0
127,Jjun,Kwon Jun-seok (권준석),MEGA,Jungler,South Korea,
128,Joker,Cho Jae-eup (조재읍),SANDBOX Gaming,Support,South Korea,27.0
129,Justice,Yoon Seok-joon (윤석준),SANDBOX Gaming,Mid,South Korea,21.0
130,Kabbie,Jeong Sang-hyeon (정상현),Griffin,Support,South Korea,17.0
131,KaKAO,Lee Byung-kwon (이병권),APK Prince,Jungler,South Korea,23.0
132,Kanavi,Seo Jin-hyeok (서진혁),JD Gaming,Jungler,South Korea,18.0
133,Karam,Kim Ga-ram (김가람),Invictus Gaming,Coach,South Korea,
134,Kellin,Kim Hyeong-gyu (김형규),Jin Air Green Wings,Support,South Korea,18.0
135,key,Kim Han-gi (김한기),Hanwha Life,Support,South Korea,21.0
136,Kezman,Son Dae-young (손대영),Rogue Warriors,Manager,South Korea,36.0
137,Khan,Kim Dong-ha (김동하),SK Telecom T1,Top,South Korea,23.0
138,Kiin,Kim Gi-in (김기인),Afreeca Freecs,Top,South Korea,19.0
139,Kim,Kim Jeong-soo (김정수),DAMWON Gaming,Coach,South Korea,30.0
140,KING,Kim Ji-hoon (김지훈),Gama Dream,Support,South Korea,
141,Kingen,Hwang Seong-hoon (황성훈),KT Rolster,Top,South Korea,19.0
142,kkOma,Kim Jeong-gyun (김정균),SK Telecom T1,Coach,South Korea,33.0
143,Krab,Lee Byeong-wook (이병욱),Winners,Top,South Korea,19.0
144,Kramer,Ha Jong-hun (하종훈),LGD Gaming,Bot,South Korea,23.0
145,KronG,Shin Beom-seok (신범석),Spear Gaming,Top,South Korea,
146,Kuri,Choi Won-yeong (최원영),SK Telecom T1,Support,South Korea,
147,Kuro,Lee Seo-haeng (이서행),Bilibili Gaming,Mid,South Korea,25.0
148,Kuzan,Lee Seong-hyeok (이성혁),Gen.G,Mid,South Korea,22.0
149,Laden,Kang Byung-ho (강병호),SANDBOX Gaming,Coach,South Korea,26.0
150,Lava,Kim Tae-hoon (김태훈),Hanwha Life,Mid,South Korea,19.0
151,Lehends,Son Si-woo (손시우),Griffin,Support,South Korea,20.0
152,Leo,Han Gyeo-re (한겨레),SK Telecom T1,Bot,South Korea,19.0
153,Life,Kim Jeong-min (김정민),Gen.G,Support,South Korea,18.0
154,Light,Kwon Sun-ho (권순호),Team Dynamics,Bot,South Korea,21.0
155,Lindarang,Heo Man-heung (허만흥),Jin Air Green Wings,Top,South Korea,21.0
156,LinLan,Ho Jin-seok (호진석),Hanwha Life,Coach,South Korea,24.0
157,Lira,Nam Tae-yoo (남태유),Clutch Gaming,Jungler,South Korea,24.0
158,LokeN,Lee Dong-wook (이동욱),Top Esports,Bot,South Korea,22.0
159,Lonely,Han Gyu-joon (한규준),F-Soul Esports,Top,South Korea,18.0
160,Luci,Han Chang-hoon (한창훈),Flamengo eSports,Support,South Korea,
161,Luna,Lee Gyu-sang (이규상),Crest Gaming Act,Mid,South Korea,
162,Lyn,Kim Da-bin (김다빈),VSG,Coach,South Korea,22.0
163,Mafa,Won Sang-yeon (원상연),Invictus Gaming,Coach,South Korea,26.0
164,MaHa,Oh Hyun-sik (오현식),MVP,Coach,South Korea,23.0
165,Malrang,Kim Geun-seong (김근성),Jin Air Green Wings,Jungler,South Korea,19.0
166,Mareritt,Yang Seong-pil (양성필),Winners,Mid,South Korea,20.0
167,Mask,Lee Sang-hoon (이상훈),SK Telecom T1,Mid,South Korea,
168,Mata,Cho Se-hyeong (조세형),SK Telecom T1,Support,South Korea,25.0
169,Medic,Kim Ji-ho (김지호),Burning Core,Support,South Korea,
170,Mickey,Son Young-min (손영민),Excel Esports,Mid,South Korea,21.0
171,Micro,Kim Mok-kyoung (김목경),DAMWON Gaming,Coach,South Korea,32.0
172,Mightybear,Kim Min-su (김민수),VSG,Jungler,South Korea,23.0
173,Mimic,Min Ju-seong (민주성),Bombers,Top,South Korea,
174,Minit,Yang Hyeon-min (양현민),VSG,Support,South Korea,21.0
175,Moment,Kim Ji-hwan (김지환),Jin Air Green Wings,Coach,South Korea,25.0
176,Moo,Lim Mu-heon (임무헌),VSG,Bot,South Korea,17.0
177,Moojin,Kim Moo-jin (김무진),Hanwha Life,Jungler,South Korea,21.0
178,Morgan,Park Gi-tae (박기태),Joy Dream,Top,South Korea,
179,MorNinG,Song Chang-geun (송창근),DAMWON Gaming,Coach,South Korea,24.0
180,Motive,Cho Se-hee (조세희),MVP,Support,South Korea,18.0
181,Mowgli,Lee Jae-ha (이재하),Team Vitality,Jungler,South Korea,21.0
182,Mystic,Jin Seong-jun (진성준),Team WE,Bot,South Korea,24.0
183,Naehyun,Yoo Nae-hyun (유내현),Kingzone DragonX,Mid,South Korea,23.0
184,Neo,Moon Ji-won (문지원),V3 Esports,Jungler,South Korea,21.0
185,Neulbo,Kim Jae-jin (김재진),MVP,Support,South Korea,
186,Never,Cha Seung-joon (차승준),Team nxl,Mid,South Korea,
187,NoEX,Jung Je-seung (정제승),KT Rolster,Coach,South Korea,29.0
188,NoFe,Jeong No-chul (정노철),Afreeca Freecs,Coach,South Korea,30.0
189,Nova,Park Chan-ho (박찬호),Jin Air Green Wings,Support,South Korea,22.0
190,Nova,Kim Dong-hyeon (김동현),All Knights,Jungler,South Korea,
191,Nuclear,Sin Jeong-hyeon (신정현),DAMWON Gaming,Bot,South Korea,22.0
192,Nuguri,Jang Ha-gwon (장하권),DAMWON Gaming,Top,South Korea,19.0
193,OdduGi,Song Kwang-ho (송광호),Sengoku Gaming,Bot,South Korea,22.0
194,OkiD,Park Jeong-hyeon (박정현),Asura,Bot,South Korea,
195,Olleh,Kim Joo-sung (김주성),Golden Guardians,Support,South Korea,24.0
196,OnAir,Kang Hyun-jong (강현종),Hanwha Life,Coach,South Korea,38.0
197,Once,Jang Se-yeong (장세영),Burning Core,Jungler,South Korea,20.0
198,OnFleek,Kim Jang-gyeom (김장겸),SANDBOX Gaming,Jungler,South Korea,21.0
199,Paladin,Cheon Joon-hee (천준희),APK Prince,Top,South Korea,19.0
200,Paragon,Choi Hyun-il (최현일),Misfits Gaming,Coach,South Korea,23.0
201,Parang,Lee Sang-won (이상원),All Knights,Top,South Korea,
202,PawN,Heo Won-seok (허원석),Kingzone DragonX,Inactive,South Korea,22.0
203,Peanut,Han Wang-ho (한왕호),Gen.G,Jungler,South Korea,21.0
204,Pilot,Na Woo-hyung (나우형),Royal Youth,Bot,South Korea,23.0
205,Ping9,Ryu Jae-keon (류재건),AXIZ,Coach,South Korea,
206,Pirean,Choi Jun-sik (최준식),SK Gaming,Mid,South Korea,21.0
207,Plex,Bae Ho-young (배호영),LNG Esports,Mid,South Korea,17.0
208,Pluto,Lee Ui-hyeon (이의현),Spear Gaming,Support,South Korea,
209,PoohManDu,Lee Jeong-hyeon (이정현),Sengoku Gaming,Coach,South Korea,28.0
210,PoP,Ha Min-wook (하민욱),MEGA,Support,South Korea,20.0
211,Poss,Kim Min-cheol (김민철),Team WE,Top,South Korea,21.0
212,PPung,Kim Dong-wook (김동욱),Winners,Jungler,South Korea,
213,PraY,Kim Jong-in (김종인),KT Rolster,Bot,South Korea,25.0
214,Profit,Kim Jun-hyung (김준형),Rogue,Top,South Korea,23.0
215,Punch,Son Min-hyuk (손민혁),DAMWON Gaming,Jungler,South Korea,20.0
216,Pure,Kim Jin-sun (김진선),VSG,Support,South Korea,23.0
217,Rahui,Ko Gwang-pyo (고광표),USG,Coach,South Korea,
218,Rainbow,Kim Soo-gi (김수기),ahq e-Sports Club,Mid,South Korea,
219,Raise,Oh Ji-hwan (오지환),Dire Wolves,Jungler,South Korea,21.0
220,RapidStar,Jung Min-sung (정민성),Cloud9,Coach,South Korea,26.0
221,Rascal,Kim Kwang-hee (김광희),Kingzone DragonX,Top,South Korea,21.0
222,Rather,Shin Hyeong-seop (신형섭),Flash Wolves,Mid,South Korea,22.0
223,Ray,Jeon Ji-won (전지원),EDward Gaming,Inactive,South Korea,21.0
224,Reapered,Bok Han-gyu (복한규),Cloud9,Coach,South Korea,27.0
225,Reaver,Gil Hee-chan (길희찬),Asura,Top,South Korea,
226,Rebel,Park Geun-woo (박근우),bbq Olivers,Support,South Korea,
227,ReGank,Song Yong-hoon (송용훈),Asura,Jungler,South Korea,
228,Reignover,Kim Yeu-jin (김의진),Cloud9,Coach,South Korea,23.0
229,reM,Lee Hyeon-seo (이현서),VSG,Mid,South Korea,22.0
230,Reven,Seong Sang-hyeon (성상현),Flamengo eSports,Analyst,South Korea,
231,Revenger,Kim Kyu-seok (김규석),MVP,Jungler,South Korea,21.0
232,Rich,Lee Jae-won (이재원),Gen.G,Mid,South Korea,
233,Riris,Baek Seung-min (백승민),VSG,Top,South Korea,
234,Roach,Kim Kang-hui (김강희),Gen.G,Top,South Korea,20.0
235,Road,Yun Han-gil (윤한길),Brion Blade,Support,South Korea,23.0
236,Route,Moon Geom-su (문검수),Jin Air Green Wings,Bot,South Korea,20.0
237,Ruby,Lee Sol-min (이솔민),VSG,Mid,South Korea,20.0
238,Ruin,Kim Hyeong-min (김형민),CLG,Top,South Korea,23.0
239,Ruler,Park Jae-hyuk (박재혁),Gen.G,Bot,South Korea,20.0
240,Rush,Lee Yoon-jae (이윤재),Echo Fox,Jungler,South Korea,26.0
241,Ryan,Lee Jun-seok (이준석),VSG,Jungler,South Korea,22.0
242,Ryu,Ryu Sang-wook (류상욱),100 Academy,Mid,South Korea,25.0
243,S0NSTAR,Son Seung-ik (손승익),KT Rolster,Coach,South Korea,24.0
244,Sally,Yoo Eui-joon (유의준),SANDBOX Gaming,Coach,South Korea,30.0
245,Sangyoon,Gwon Sang-yun (권상윤),Hanwha Life,Bot,South Korea,23.0
246,Sayongsu,Yoon Jeong-min (윤정민),Brion Blade,Top,South Korea,
247,SBS,Bae Ji-hun (배지훈),Team Dynamics,Coach,South Korea,26.0
248,Score,Go Dong-bin (고동빈),KT Rolster,Jungler,South Korea,26.0
249,Scout,Lee Ye-chan (이예찬),EDward Gaming,Mid,South Korea,21.0
250,Secret,Park Ki-sun (박기선),APK Prince,Support,South Korea,21.0
251,Seize,Kim Chan-hee (김찬희),Jin Air Green Wings,Jungler,South Korea,18.0
252,Senan,Park Hee-seok (박희석),Afreeca Freecs,Support,South Korea,17.0
253,Sensation,Kim Dong-hyeon (김동현),VSG,Coach,South Korea,26.0
254,SeongHwan,Yoon Seong-hwan (윤성환),Gen.G,Jungler,South Korea,21.0
255,Shadow,Park Jae-seok (박재석),Bilibili Gaming,Coach,South Korea,34.0
256,ShowMaker,Heo Su (허수),DAMWON Gaming,Mid,South Korea,18.0
257,Shrimp,Lee Byeong-hoon (이병훈),Flamengo eSports,Jungler,South Korea,
258,Sky,Kim Ha-neul (김하늘),XTEN Esports,Mid,South Korea,
259,Smeb,Song Kyung-ho (송경호),KT Rolster,Top,South Korea,23.0
260,SnowFlower,No Hoi-jong (노회종),KT Rolster,Support,South Korea,22.0
261,SoaR,Lee Gang-pyo (이강표),VSG,Top,South Korea,21.0
262,SoHwan,Kim Jun-yeong (김준영),Hanwha Life,Top,South Korea,22.0
263,Spirit,Lee Da-yoon (이다윤),Afreeca Freecs,Jungler,South Korea,22.0
264,SSol,Seo Jin-sol (서진솔),Afreeca Freecs,Bot,South Korea,21.0
265,SSONG,Kim Sang-soo (김상수),Echo Fox,Coach,South Korea,29.0
266,Ssumday,Kim Chan-ho (김찬호),100 Thieves,Top,South Korea,22.0
267,SSUN,Kim Tae-yang (김태양),Afreeca Freecs,Mid,South Korea,21.0
268,Stardust,Son Seok-hee (손석희),All Knights,Coach,South Korea,28.0
269,Starrain,Kim Tae-gyeom (김태겸),Team Dynamics,Support,South Korea,22.0
270,Steal,Mun Geon-yeong (문건영),DetonatioN FM,Jungler,South Korea,20.0
271,Stitch,Lee Seung-ju (이승주),Jin Air Green Wings,Bot,South Korea,22.0
272,Summit,Park Woo-tae (박우태),SANDBOX Gaming,Top,South Korea,20.0
273,supreme,Choi Seung-min (최승민),Kingzone DragonX,Coach,South Korea,32.0
274,Sweet,Chun Jung-hee (천정희),Flash Wolves,Coach,South Korea,33.0
275,Sword,Choi Sung-won (최성원),Griffin,Top,South Korea,21.0
276,Syu,Lim Seung-soo (임승수),MVP,Bot,South Korea,20.0
277,TaNa,Lee Sang-wook (이상욱),Jin Air Green Wings,Top,South Korea,19.0
278,Tarzan,Lee Seung-yong (이승용),Griffin,Jungler,South Korea,19.0
279,Teddy,Park Jin-seong (박진성),SK Telecom T1,Bot,South Korea,21.0
280,Tempo,Yoo Joon-sang (유준상),Winners,Support,South Korea,18.0
281,Tempt,Kang Myung-gu (강명구),Hanwha Life,Mid,South Korea,21.0
282,Thal,Park Kwon-hyuk (박권혁),Hanwha Life,Top,South Korea,20.0
283,TheShy,Kang Seung-lok (강승록),Invictus Gaming,Top,South Korea,19.0
284,Topoon,Kim Ji-hoon (김지훈),MAMMOTH,Top,South Korea,
285,Totoro,Eun Jong-seop (은종섭),Dire Wolves,Support,South Korea,23.0
286,TrAce,Yeo Chang-dong (여창동),Gen.G,Coach,South Korea,29.0
287,Travel,Kang Tae-su (강태수),DAMWON Gaming,Coach,South Korea,26.0
288,Trick,Kim Gang-yun (김강윤),FC Schalke 04,Jungler,South Korea,23.0
289,Trigger,Kim Eui-joo (김의주),APK Prince,Bot,South Korea,18.0
290,Troy,Kim Joon-yeong (김준영),Kaos Latin Gamers,Support,South Korea,22.0
291,TusiN,Park Jong-ik (박종익),Kingzone DragonX,Support,South Korea,23.0
292,Tussle,Lee Moon-yong (이문용),USG,Jungler,South Korea,24.0
293,Ucal,Son Woo-hyeon (손우현),Afreeca Freecs,Mid,South Korea,18.0
294,UmTi,Eom Seong-hyeon (엄성현),KT Rolster,Jungler,South Korea,19.0
295,Untara,Park Ui-jin (박의진),1907 Fenerbahçe,Top,South Korea,22.0
296,Veritas,Kim Kyoung-min (김경민),VSG,Bot,South Korea,24.0
297,VicaL,Kim Sun-mook (김선묵),SuperMassive,Coach,South Korea,32.0
298,Vins,Jung Min-woo (정민우),Team Dynamics,Mid,South Korea,19.0
299,viNylCat,Chae Woo-cheol (채우철),Afreeca Freecs,Coach,South Korea,33.0
300,Viper,Park Do-hyeon (박도현),Griffin,Bot,South Korea,18.0
301,viviD,Han Gi-hun (한기훈),V3 Esports,Support,South Korea,26.0
302,Wadid,Kim Bae-in (김배인),FlyQuest,Support,South Korea,21.0
