,IGN,Name,Team,Role,Country,Age
108,Woody,Lin Hung-Yu (林弘裕),J Team 2,Support,Taiwan,21.0
109,Wuji,Yang Chia-Yu (楊家宇),G-Rex,Mid,Taiwan,24.0
110,Xuan,Chan Yi-Hsuan (詹益炫),G-Rex Infinite,Mid,Taiwan,19.0
111,Yezi,Yeh Chih-Hua (葉至華),Hong Kong Attitude,Streamer,Taiwan,28.0
112,Yinyu,Lui Hing Ka (雷興家),Kowloon Esports,Mid,Hong Kong,20.0
113,Yo,Fan Chih-Wei (范植威),Garena,Caster,Taiwan,23.0
114,Ysera,Wang Tsung-Chih (汪宗志),ahq e-Sports Club,Support,Taiwan,22.0
115,Yuen,Wong Wing Yuen (黃榮遠),F-Soul Esports,Support,Hong Kong,17.0
116,YuLun,Jiang Yu-Lun (江宇倫),Dragon Gate Team,Bot,Taiwan,
117,Zero,Chung Chen-Hua (鍾震華),ahq e-Sports Club,Analyst,Taiwan,
118,Zest,Hsieh Ming-Hsuan (謝名軒),SuperEsports,Support,Taiwan,23.0
119,Ziv,Chen Yi (陳奕),ahq e-Sports Club,Top,Taiwan,24.0
