,IGN,Name,Team,Role,Country,Age
201,s1aytrue,Lin Sheng-Bo (林圣博),Royal Club,Support,China,
202,Savoki,Jin Hao (金灏),Victorious Gaming,Support,China,
203,ShaDow,Li Hao (李豪),SDX Gaming,Top,China,
204,shanji,Deng Zi-Jian (邓子健),Legend Esport,Top,China,
205,Shark,Zhang Yu-Qi (张雨绮),Suning Gaming-S,Bot,China,18.0
206,sixsix9,Li Quan-Qiu (李全球),TS Gaming,Jungler,China,22.0
207,sky,Zhan Xiong (占雄),King of Future,Mid,China,
208,Sleepy,Wang He-Yong (王赫永),EDward Gaming,Top,China,
209,Smiths,Le Hao (乐豪),Royal Club,Support,China,
210,Smlz,Han Jin (韩金),Suning,Bot,China,21.0
211,Snow,Wu Hao-Shun (吴好顺),Vici Gaming,Bot,China,20.0
212,Solokill,Mak Fu Keung (麥富強),Kowloon Esports,Top,Hong Kong,17.0
213,Sora,Liu Zhi-Long (刘志龙),Royal Club,Support,China,21.0
214,Soul,Liu Kai (刘凯),Dragon Gate Team,Bot,China,
215,Southwind,Su Zhi-Lin (苏志林),Vici Gaming,Support,China,22.0
216,Spunk,Wang Zhi-Peng (王志鹏),WE Academy,Top,China,
217,Sun,Wang Xu-Zhuo (王旭卓),WE Academy,Support,China,18.0
218,Teacherma,Jiang Chen (姜晨),WE Academy,Mid,China,
219,Teeen,Wang Yao-Ji (王耀基),JD Gaming,Support,China,
220,TheFan,Fan Rong (范荣),Gama Dream,Top,China,21.0
221,Tian,Gao Tian-Liang (高天亮),FunPlus Phoenix,Jungler,China,18.0
222,Till,Tang Le (唐乐),Gama Dream,Mid,China,
223,Try9,Song Zi-Hao (宋子豪),Scorpio Game,Mid,China,
224,TS,Xie Yun-Peng (谢运蓬),Royal Club,Top,China,
225,Tts,Xu Yang (徐洋),VP Game,Top,China,
226,Twila,Huang Ting-Wei (黄庭威),Dominus Esports,Mid,China,20.0
227,Typhoon,Chen Dai-Feng (陈代丰),D7G Esports,Bot,China,
228,unicorn,Li Sheng-Wei (李盛维),SDX Gaming,Jungler,China,22.0
229,up,Jin Wen-Jie (金文杰),Joy Dream,Top,China,23.0
230,Uzi,Jian Zi-Hao (简自豪),RNG,Bot,China,22.0
231,View,Chen Yu-Ming (陈昱铭),Suning Gaming-S,Jungler,China,
232,Viod,Lu Fan (陆凡),Legend Esport,Support,China,
