,IGN,Name,Team,Role,Country,Age
129,Mayhem,Samuel García,MADL Mexico,Top,Mexico,22.0
130,Mianare,Miguel Anaya,MADL Mexico,Bot,Colombia,19.0
131,Monaco,Raúl Grimaldi Barahona,Another Troll Team,Support,Costa Rica,24.0
132,Monsieur,Harvey Betancourt Delgado,XTEN Mexico,Mid,Venezuela,21.0
133,Murillo,Yordy Murillo,Loto Gaming,Mid,Colombia,22.0
134,Nash,Sebastían Lima,Furious Academy,Mid,Argentina,16.0
135,Nate,Damián Rea,9z Team,Top,Argentina,
136,Nekhazten,Franco Kalen Martínez,Isurus Academy,Support,Argentina,20.0
137,Nerakk,Gaston Gabriel Camelino,Bring It On,Coach,Argentina,27.0
138,NerzhuL,Jorge Iván Meza,Cream Esports Mexico,Support,Mexico,
139,Newbie,Leandro Marcos,All Knights,Support,Argentina,22.0
140,Neylan,Brian Martin Rigaudi,Coliseo Dragons,Jungler,Argentina,21.0
141,Nipphu,Franco Daniel Funes Cabezas,Kaos Latin Gamers,Top,Argentina,24.0
142,Nobody,Nicolás Ale,Rainbow7,Bot,Argentina,19.0
143,NoLimit,Jorge Santamaría,Darkness Eagles,Support,Ecuador,26.0
144,Nothing,Brandon Merlo,Cream Esports,Bot,Argentina,
145,Nottingham,Alan Spikerman,Undead Gaming,Support,Argentina,22.0
146,Oddie,Sebastián Alonso Niño Zavaleta,Isurus Gaming,Jungler,Peru,21.0
147,Ominator,Luciano Lambelet,Legatum,Owner,Chile,
148,Ominick,Omar Elorza,Dark Horse,Jungler,Chile,23.0
149,Onur,Rodrigo Dalmagro,Furious Gaming,Coach,Argentina,32.0
150,Ortiz,Sebastian Ortíz,Loto Gaming,Bot,Colombia,20.0
151,Pancake,Manuel Scala,All Knights,Bot,Argentina,18.0
152,Peluchin,Roberto Ponce,E-STORM,Bot,Mexico,25.0
153,Pierre,Misael Di Ciancia,Isurus Gaming,Coach,Argentina,25.0
154,Pillo,José Martínez,E-STORM,Top,Mexico,
155,Plugo,Joaquín José Pérez,All Knights,Mid,Chile,22.0
156,Porky,Gerardo Alonso Cuamea Telles,Cream Esports Mexico,Top,Mexico,23.0
157,Prodigy,Javier Agustín Juárez,Dark Horse,Bot,Argentina,25.0
158,Prook,Joaquín Romero,Mighty Shadow,Jungler,Chile,22.0
159,QQMore,Diego Apablaza Abarzúa,Pixel Esports Club,Jungler,Chile,20.0
160,R4vER,Francisco Javier Osorio Vásquez,Kaos Latin Gamers,Owner,Chile,31.0
161,Rafamaik,Rafael Jert,Riot Games Inc.,Caster,Chile,
162,Ragu,Jorge Carreño,Kaos Latin Gamers,Jungler,Chile,
163,Rakyl,Fernando Naranjo,UC Esports,Jungler,Chile,
164,Rapid,Jeff Macolonie,Fuego,Owner,Curaçao,22.0
165,RaulChan,Raúl Iván Chan Lanas,Cream Esports Mexico,Coach,Chile,30.0
166,Regi,Juan Cruz Curto,Dark Horse,Mid,Argentina,
167,Relic,José Pombo Ribeiro,Infinity Esports,Top,Venezuela,24.0
168,Renyu,Renato Gallegos Muñoz,Infinity Esports,Bot,Peru,19.0
169,Revehaza,Luis López,Rainbow7,Coach,Mexico,23.0
170,Rod,Rodrigo Altieri,Rebirth eSports,Jungler,Argentina,22.0
171,Romanilly,Gonzalo Andrés Manzano,Wild Jaguars Argentina,Jungler,Argentina,22.0
